grant_number,fqhc_name,state,type,operator_type,site_count,contact_count,exec_count,bh_titled_count,on_natcon,on_nachc,score,reasons
H80CS00814,KALIHI PALAMA HEALTH CENTER,HI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,1,1,0,False,True,6,HI other; 9 sites sweet; real FQHC; 501c3; 1 exec
H80CS28966,KANSAS CITY CARE CLINIC,MO,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,1,1,0,False,True,6,MO other; 10 sites sweet; real FQHC; 501c3; 1 exec
H80CS00179,MEDCURA HEALTH INC,GA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",16,1,1,0,False,True,6,GA adj; 16 sites ok; real FQHC; 501c3; 1 exec
H80CS08764,MOREHOUSE COMMUNITY MEDICAL CENTERS INC,LA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",18,1,1,0,False,True,6,LA adj; 18 sites ok; real FQHC; 501c3; 1 exec
H80CS00472,MORRIS HEIGHTS HEALTH CENTER INC,NY,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",34,4,3,0,False,True,6,NY other; 34 sites; real FQHC; 501c3; 4 contacts; 3 exec
H80CS01139,"PENINSULA COMMUNITY HEALTH SERVICES OF ALASKA, INC.",AK,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",3,1,1,0,False,True,6,AK other; 3 sites sweet; real FQHC; 501c3; 1 exec
H80CS00712,PRYMED MEDICAL CARE INC.,PR,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",3,1,1,0,False,True,6,PR other; 3 sites sweet; real FQHC; 501c3; 1 exec
H80CS00658,"QUALITY OF LIFE HEALTH SERVICES, INC.",AL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",25,3,3,0,False,True,6,AL other; 25 sites; real FQHC; 501c3; 3 contacts; 3 exec
H80CS26609,RITTER CENTER,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",4,1,1,0,False,True,6,CA other; 4 sites sweet; real FQHC; 501c3; 1 exec
H80CS00866,"RURAL HEALTH GROUP, INC",NC,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",22,1,1,0,False,True,6,NC core; 22 sites; real FQHC; 501c3; 1 exec
H80CS00496,SAWTOOTH MOUNTAIN CLINIC,MN,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",4,1,1,0,False,True,6,MN other; 4 sites sweet; real FQHC; 501c3; 1 exec
H80CS00376,SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATE,AL,Federally Qualified Health Center (FQHC),Other,14,5,5,0,False,True,6,AL other; 14 sites ok; real FQHC; 5 contacts; 5 exec
H80CS00646,WAIMANALO HEALTH CENTER,HI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",5,1,1,0,False,True,6,HI other; 5 sites sweet; real FQHC; 501c3; 1 exec
H80CS00147,COLUMBIA BASIN HEALTH ASSOCIATION,WA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,1,1,0,False,True,6,WA other; 6 sites sweet; real FQHC; 501c3; 1 exec
H80CS00628,MENDOCINO COMMUNITY HEALTH CLINIC INC,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,1,1,0,False,True,6,CA other; 10 sites sweet; real FQHC; 501c3; 1 exec
H80CS29001,WHEELER CLINIC INC,CT,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",26,3,3,0,True,True,6,CT other; 26 sites; real FQHC; 501c3; 3 contacts; 3 exec
